text,anger,disgust,fear,joy,sadness,surprise,neutral
"Лежать в постели с головной болью, ждать твоего звонка...",0,0,0,0,1,0,0
Церемония похорон... мрачная пятница...,0,0,0,0,1,0,0
"Я должна спать, но я не должна! Думая о старом друге, которого я хочу, но он теперь женат. Черт, и он хочет меня двоих! скандально!",0,0,0,0,1,0,0
"@charviray Шарлин, любовь моя, я скучаю по тебе.",0,0,0,0,1,0,0
"@kelcouch Я сожалею по крайней мере, что сегодня пятница?",0,0,0,0,1,0,0
"Я должен победить эту дурацкую песню, чтобы добраться до следующего грубого!",0,0,0,0,1,0,0
"@BrodyJenner, если ты посмотришь холмы в Лондоне, ты поймешь, что это за турнир, потому что были недели и недели опоздания я просто смотрю Итонлинол",0,0,0,0,1,0,0
Есть новости.,0,0,0,0,0,1,0
Шторм здесь и электричество пропало.,0,0,0,0,1,0,0
"Снова сонный, и еще не так поздно, я снова провалился.",0,0,0,0,1,0,0
"Как ты можешь быть уверен, что я всегда хотел тебя?",0,0,0,0,1,0,0
"так устала и я думаю, что я точно заразюсь ухом. Иду спать хотя бы раз &quot; рано &quot; .",0,0,0,0,1,0,0
"@IsaacMascote Я сожалею, что люди так грубы по отношению к тебе, Айзек, они должны иметь какие-то манеры и знать лучше, чем быть такими мерзкими!",0,0,0,0,1,0,0
Я ненавижу школу... время спать!!!!!!!!!!!!!,0,0,0,0,1,0,0
"@ether_radio да: Я чувствую себя забавно, потому что я недостаточно спал, я разбудил маму, потому что я пела, она не впечатлена.",0,0,0,0,1,0,0
"У меня проблемы с фотографией здесь, в Твиттер-амфе! Не вижу моего лица!",0,0,0,0,1,0,0
"@maternitytees Ow Onward и вверх сейчас, да! Ещё грустно, если я уйду.",0,0,0,0,1,0,0
"Дизельное ярис... 70мпг так грустно, что его нет в США. Это было бы круто.",0,0,0,0,1,0,0
"Я хочу купить этот замечательный альбом, но, к сожалению, я не куплю его &lt; &lt; долгое время &gt; &gt; .",0,0,0,0,1,0,0
"@Pokinatcha, честно говоря... Больно блеч.",0,0,0,0,1,0,0
Так... пассажиры... никто не жив... они все мертвы... вы просто не знаете этого до конца... затем вы плачете...,0,0,0,0,1,0,0
@vincew @stefanyngo Я заснул на пляже и не надел достаточно солнцезащитного лола,0,0,0,0,1,0,0
"@RachelLock22 о, четверг у меня экзамены весь день что насчет свадьбы?",0,0,0,0,1,0,0
"@gcrush @nopantdance я просто думал о том, как я рад, что вы, ребята, переезжаете, но потом я понял, как мне грустно видеть, как вы уходите.",0,0,0,0,1,0,0
"@artfuldodga Мне нравятся эти USB палочки ""это'sakey"" у нас только 4GB в Австралии",0,0,0,0,1,0,0
@sweeetnspicy hiii im на моем ipod... я не могу заснуть,0,0,0,0,1,0,0
"Не хочу завтра работать в 11-830, но мне платят.",0,0,0,0,1,0,0
"Печально, потому что я не смог играть с парнями!!!! http://plurk.com/p/wxiux",0,0,0,0,1,0,0
"Черт побери, аллергия! Мне не нравится это время года из-за этого! У меня никогда не было этой проблемы.",0,0,0,0,1,0,0
@cayogial Я хотел приехать в BZ этим летом : / не так уверена больше... жизнь учителя летом,0,0,0,0,1,0,0
"Хотела бы я, чтобы она знала, через что мне пришлось пройти, она украла мое сердце, никогда не возвращала его, и иногда ей нравится быть такой, как я!",0,0,0,0,1,0,0
"Я очень устала от терапии сегодня, просто принимаю мои лекарства!",0,0,0,0,1,0,0
Аллергия сосёт утиные орехи. &lt;==8@8====&gt;,0,0,0,0,1,0,0
"Интересно, почему ее очки Кармы превратились в 0,00. http://plurk.com/p/wxj54",0,0,0,0,1,0,0
"Жалко, что мне хочется плакать!",0,0,0,0,1,0,0
Я иду спать... я просто больше не чувствую себя правильно...,0,0,0,0,1,0,0
"Теперь я в депрессии после просмотра, так что ты думаешь, что можешь танцевать",0,0,0,0,1,0,0
"Просто пересечься, потому что я застряла, скручивая пальцы.",0,0,0,0,1,0,0
"Последний день работы в Университете сегодня, грустные времена",0,0,0,0,1,0,0
"Я очень хочу, чтобы он был дома.",0,0,0,0,1,0,0
Я скучаю по своему щенку.,0,0,0,0,1,0,0
"Осталось 2 дня этого месяца, и у меня осталось только 400 МВт на загрузках.",0,0,0,0,0,1,0
@nzdeany Я бросила пиццу - дети никогда бы не позволили мне иметь мою фав (красивые),0,0,0,0,1,0,0
@BarbSchefer тоскует по дому животных умер... очень грустно для всей их семьи.,0,0,0,0,1,0,0
"@heresmyhello92 Мы ненавидим перемены, так что, конечно, мы фанаты жизни. &lt;3 О, и если мы не встретили Роба, то что-то пошло не так.",0,0,0,0,1,0,0
"Что ж, хуй... это новое обезболивающее имеет странное предупреждение, которое действительно применимо ко мне. Я не могу принять это. - Чан недовольна.",0,0,0,0,1,0,0
"только что загрузил свой новый блог... болезненную историю о 80-летнем мужчине, который плакал, потому что хотел умереть... очень грустно.",0,0,0,0,1,0,0
"Я только что видел фотографии с прошлого Дня Благодарения и мне грустно, потому что бабушка была в них.",0,0,0,0,1,0,0
"Завтра у меня смена, мне не хочется сейчас работать.",0,0,0,0,1,0,0
Но теперь у меня нет денег на телефон.,0,0,0,0,1,0,0
@Bern_Morley Где ты? В Брисе? Я не слышу грома.,0,0,0,0,0,1,0
"Бек против жирной еды - победитель = жирная еда, но не в этот уикенд, плохо побеждает!",0,0,0,0,0,1,0
"Жаль, что Красные Дьяволы... разочаровывают, по крайней мере,",0,0,0,0,1,0,0
"Мне приснился красивый пляж, и не было пляжа, когда я проснулся.",0,0,0,0,0,1,0
"@xdjio имеет 3 ПО 9650SE, недостаточно быстро для 3x X25-M SDD RAID5. 800Mhz IOP на HPT, может попробовать адапцию 5405 (1.2Ghz).",0,0,0,0,1,0,0
"Когда гаражник приедет, я спрошу тебя... когда...",0,0,0,0,0,1,0
"@AlexanderGhite Daammmnnnnn, я бы хотел быть там.",0,0,0,0,1,0,0
"@yuki_hime Я играл до последних частей деревенской части вуду, пока я не потеряла своего обычного напарника",0,0,0,0,1,0,0
плохой друг.,0,0,0,0,1,0,0
"@moggy99 Нет интернета прошлой ночью, ER был бурл, был массовый взрыв в конце близлежащих газовых работ, ER наготове",0,0,0,0,1,0,0
"@lenje - Все еще жаль, что ягненка нет.",0,0,0,0,1,0,0
@bloomsday16 Мне жаль это слышать. Вот мой оптимист: все станет лучше для всех нас.,0,0,0,0,1,0,0
Почему я заканчиваю викторины Фэйсбук в это время утра... особенно в пятницу утром,0,0,0,0,0,1,0
Пришлось отменить вау на данный момент.,0,0,0,0,1,0,0
"@fareyfroggie, но да... мне грустно из-за моего аккаунта &quot; Ravenclaw&quot; .",0,0,0,0,1,0,0
"Допоздна, ни с чем....",0,0,0,0,1,0,0
"Иногда мне хочется, чтобы всё вернулось к тому, что было в начале прошлого лета.",0,0,0,0,1,0,0
"@Kateisbored я чувствую то же самое, но я думаю, что где бы ты ни был, всегда будут мемы.",0,0,0,0,1,0,0
"Милая малайская девушка пришла в кажущуюся комнату для аренды - к сожалению, она думала, что это было для ее парня, немного вводящего в заблуждение и разочаровывающего LOL",0,0,0,0,1,0,0
"@Gurlstrange Epi Centre Wilock Place, 250 единиц и только для туристов.",0,0,0,0,0,1,0
@FoxxFiles а ты не можешь впустить меня в тайну!,0,0,0,0,0,1,0
"@frechypanda Immil простите, что не думаю, что я выгляжу, по крайней мере, по сравнению с тем, как я раньше выглядел.",0,0,0,0,0,1,0
"Каждый раз, когда я посылаю е-мэйл своему тренеру, мне нужно тренироваться.",0,0,0,0,1,0,0
